title	index_type	link	score	Goal	query	Source	Deployment Date	Kill Chain Phase	Comments	Date of Post (for queries from Carbon Black online posts)
MS Office processes that spawns a process to executes a script via cscript.exe	events	Local File	80		" ( parent_name:winword.exe OR parent_name:excel.exe OR parent_name:powerpoint.exe ) AND (process_name:cmd.exe AND childproc_name:cscript.exe AND os_type:""windows"" )"	Carbon Black Detection Exchange		1-3 (Recon Weapon Delivery)	 https://community.carbonblack.com/docs/DOC-3849	1/21/2016
New IPs associated with Nuclear Exploit Kit, detected 2-4-16	events	Local File	80	Nuclear Exploit Kit	 (ipaddr:[-1534832569 TO -1534832569]) OR (ipaddr:[-1561113130 TO -1561113130]) OR (ipaddr:[-1614079960 TO -1614079960])	Carbon Black Detection Exchange			 https://community.carbonblack.com/docs/DOC-3928	2/5/2016
alerts on a number of child processes that could indicate malicious activity.	events	Local File	85		 (parent_name:wscript.exe (process_name:cmd.exe OR process_name:net.exe OR process_name:powershell.exe or process_name:wmic.exe))	Carbon Black Threat Intel Group			 https://community.carbonblack.com/thread/3493	7/20/2016
 Advanced attackers recon/lateral movement	events	Local File	80	Lateral Movement	" (process_name:net.exe OR (process_name:net1.exe AND -parent_name:net.exe) OR process_name:dsquery.exe) and cmdline:""\""domain admins\"""""	Carbon Black Detection Exchange		6 (C2C)	  If you have AD, then any intrusion will almost certainly include getting a list of domain admins as the attackers work their way to dumping your DC. https://community.carbonblack.com/docs/DOC-3885	1/28/2016
" Looks for procdump.exe or procdump64.exe being invoked with lsass.exe in the command line, or performing a cross-process event on lsass.exe
"	events	Local File	90	"The sysinternals tool ""procdump"" can be used to dump the memory space of lsass.exe, which can then be used by a tool like mimikatz harvest credentials. procdump is typically not flagged by A/V or whitelisting since it is a ""known good"" administrative tool."	 (process_name:procdump.exe OR process_name:procdump64.exe) AND (cmdline:lsass.exe OR crossproc_name:lsass.exe)	Carbon Black Detection Exchange			 https://community.carbonblack.com/docs/DOC-3915	2/4/2016
watches for a known behavior of the CryptXXX ransomware, which is to make a copy of rundll32.exe and rename it to svchost.exe	events	Local File	90		 (process_name:svchost.exe OR process_name:explorer.exe) internal_name:rundll	Carbon Black Detection Exchange		4-5 (Exploit Install)	 https://community.carbonblack.com/docs/DOC-4585	5/17/2016
watchlist looks for when vssadmin.exe is run along with delete shadows (and from what I've seen is a strong indicator that ransomware is executing on an endpoint)	events	Local File	98		 C:\Windows\System32\vssadmin.exe Delete Shadows 	Carbon Black Detection Exchange			 https://community.carbonblack.com/docs/DOC-4268	4/1/2016
Initial write of an unsigned binary to \Windows\System32	events	Local File	0		" filemod:windows\system32\*˜digsig_result:unsigned˜digsig_result_filewrite:""Unsigned"""	Carbon Black Threat Intel Group			 https://community.carbonblack.com/thread/3019	4/1/2016
Detect Tor file or process	events	Local File	100		 process_name:tor.exe OR filemod:tor.exe OR filemod:torrc	Carbon Black Detection Exchange			 https://community.carbonblack.com/docs/DOC-3952	2/8/2016
 wscript.exe .js execution that downloads an .exe after a network connection.	events	Local File	70	One (of many) vectors for *locker delivery.  User downloads email with zipped .js file, executes .js and locker is downloaded/executed	" process_name:wscript.exe and is_executable_image_filewrite:""true"" and netconn_count:[1 to *]"	Carbon Black Detection Exchange		1-3 (Recon Weapon Delivery)	 https://community.carbonblack.com/docs/DOC-4069	3/4/2016
