title,index_type,link,score,query
Execution from AppData folder,events,Local File,50,(path:appdata\* or path:Application Data\*)
Shells run by SYSTEM,events,Local File,50,(process_name:powershell.exe OR process_name:cmd.exe) username:system
Remote execution utilities e.g. PSExec,events,Local File,50,(process_name:psexec.exe OR process_name:rexec.exe OR process_name:rcmd.exe or process_name:xcmd.exe)
Firewall Modificiations,events,Local File,50,(regmod:\registry\machine\SYSTEM\*\services\SharedAccess\*\FirewallPolicy\*\EnableFirewall AND -process_name:svchost.exe) OR (cmdline:netsh AND cmdline:advfirewall)
Vulnerable software that spawned a shell,events,Local File,50,alliance_score_nvd:* AND (childproc_name:powershell.exe OR childproc_name:cmd.exe)
"Processes that have VT score > 10, and more than 1 network connection",events,Local File,50,alliance_score_virustotal:[10 TO *] AND netconn_count:[1 TO *]
"Command prompt started by commonly compromised programs (browsers, Acrobat, Java, etc.) ",events,Local File,50,childproc_name:cmd.exe AND (parent_name:iexplore.exe OR parent_name:firefox.exe OR parent_name:chrome.exe OR parent_name:acrord32.exe OR parent_name:java.exe OR parent_name:javaw.exe OR parent_name:*flash*)
Any process that spawned a shell,events,Local File,50,childproc_name:powershell.exe OR childproc_name:cmd.exe
Copying binary files via CMD,events,Local File,50,"cmdline:""copy /b"""
Net use,events,Local File,50,"cmdline:""net use"""
Registry key addition,events,Local File,50,"cmdline:""reg"" AND cmdline:""add"""
Creating services,events,Local File,50,"cmdline:""sc create"""
Adding local users,events,Local File,50,cmdline:net AND (cmdline:user OR cmdline:localgroup) AND cmdline:/add
Unsigned binaries creating threads in other processes,events,Local File,50,"crossproc_type:""remotethread"" -digsig_result:Signed"
Sysinternals (-bginfo),events,Local File,50,"digsig_prog_name:""Sysinternals Utilities"" -process_name:bginfo.exe"
Microsoft signed binaries run from unusual paths,events,Local File,50,"digsig_publisher:""Microsoft Corporation"" AND -path:windows* AND -path:program\ files*"
Unsigned binary spawning svchost.exe,events,Local File,50,"digsig_result:""Unsigned"" childproc_name:svchost.exe"
Modification to startup folder,events,Local File,50,"filemod:""Start Menu\Programs\Startup"""
filemod:\(null\)_Post AND filemod:Logs/* AND filemod:cr-silent/* AND modload:open,events,Local File,50,filemod:\(null\)_Post AND filemod:Logs/* AND filemod:cr-silent/* AND modload:open
Unsigned files written to Outlook content folder,events,Local File,50,filemod:Content.Outlook\* and -digsig_result_filewrite:Signed
Executable files written to Outlook content folder,events,Local File,50,filemod:Content.Outlook\* and is_executable_image_filewrite:True
Modification of executables for accessibility options or sticky keys,events,Local File,50,filemod:windows/system32/sethc.exe OR filemod:windows/system32/utilman.exe
> 500 file modifications,events,Local File,50,filemod_count:[500 TO *]
IP traffic on port 3389,events,Local File,50,ipport:3389
Web ports used by non-browsers,events,Local File,50,ipport:80 AND ipport:443 AND ipport:8080 AND -process_name:chrome.exe AND -process_name:iexplore.exe
Internet Explorer compromise,events,Local File,50,modload:vgx.dll AND process_name:iexplore.exe AND modload:*.ocx AND childproc_name:*.dll
Not signed binaries initiating connections to public IPs,events,Local File,50,netconn_count:[1 TO *] AND -digsig_result:signed AND (ipaddr:[0.0.0.0 to 9.255.255.255] OR ipaddr:[11.0.0.0 to 100.63.255.255] OR ipaddr:[100.128.0.0 to 127.0.0.0] OR ipaddr:[127.0.0.2 to 127.255.255.255] OR ipaddr:[128.0.0.0 to 172.15.255.255] OR ipaddr:[172.32.0.0 to 191.255.255.255] OR ipaddr:[193.0.0.0 to 192.167.255.255] OR ipaddr:[192.169.0.0 to 198.17.255.255] OR ipaddr:[198.20.0.0 to 255.255.255.255])  AND os_type:windows
